FacilityID,FacilityName,VOCs,TSP,SOx,NOx,Total,Total(不含VOCs)
H42A3066,臺群工業股份有限公司,0.816,0.576,4.01,4.321,9.723,8.907
J5902995,長榮鋼鐵股份有限公司,0,0.608,5.177,3.115,8.9,8.9
H4801423,南僑化學工業股份有限公司桃園廠,1.815,1.116,0.6,7.182,10.713,8.898
H46A5339,東利瀝青股份有限公司,0.443,1.761,4.35,2.759,9.313,8.87
H4500672,聯華實業股份有限公司富岡工廠,0,8.865,0,0,8.865,8.865
V7500660,興東興業股份有限公司,0,8.864,0,0,8.864,8.864
P6001204,歐明憲企業股份有限公司,0.466,6.598,1.698,0.543,9.305,8.839
L0200606,南華水泥股份有限公司台中一二廠,0,8.387,0.25,0.198,8.835,8.835
S2202884,瑞榮瀝青股份有限公司,1.186,6.78,0.965,1.088,10.019,8.833
Q7600115,穎杰鑄造工業股份有限公司,0.754,8.073,0.221,0.536,9.584,8.83
H4302318,六和機械股份有限公司,35.692,6.857,0.588,1.374,44.511,8.819
N1301555,皇益紡織股份有限公司,0.282,0.893,4.316,3.583,9.074,8.792
H4889712,財團法人長庚紀念醫院桃園分院,0,0.666,5.345,2.78,8.791,8.791
H4601101,廣明實業股份有限公司,0,0.787,5.261,2.714,8.762,8.762
G3200803,宜蘭食品工業股份有限公司,0,0.229,4.53,3.98,8.739,8.739
K80A0262,新加坡商矽比科亞洲有限公司寶琳分公司龍騰廠,0,5.676,1.788,1.24,8.704,8.704
D9200291,大登環保科技有限公司,0.165,0.576,2.716,5.4,8.857,8.692
Q6900821,上評科技實業股份有限公司嘉義廠,0,0.385,0.726,7.56,8.671,8.671
H4803356,承恩企業股份有限公司,0,8.653,0,0,8.653,8.653
H4814797,香榮實業股份有限公司,1.06,1.435,2.227,4.975,9.697,8.637
J5500580,台元紡織股份有限公司竹北總廠,0.851,0.243,3.02,5.336,9.45,8.599
V75A3474,鈜業企業有限公司,0,8.579,0,0,8.579,8.579
H4502078,厚生玻璃工業股份有限公司楊梅分公司,0,0.465,2.898,5.204,8.567,8.567
E5601080,漢泰鋼鐵廠股份有限公司,0,0.053,0,8.464,8.517,8.517
H5301548,富順纖維工業股份有限公司觀音廠,1.204,0.773,1.89,5.796,9.663,8.459
V7700295,俊發砂石場,0,8.387,0,0,8.387,8.387
R0300384,統一企業股份有限公司新市廠,0.343,0.047,0.121,8.218,8.729,8.386
R1000490,豐盟企業股份有限公司中洲廠,0,8.385,0,0,8.385,8.385
H4888493,友達光電股份有限公司桃園分公司華亞廠,5.401,0.046,2.647,5.678,13.772,8.371
G3200474,聯峰工礦股份有限公司蘇澳工廠,0,8.37,0,0,8.37,8.37
H53A6138,東齊染整股份有限公司,0.983,0.176,0.368,7.791,9.318,8.335
H4802662,新瑞倡企業股份有限公司桃園廠,0.2,0.959,3.695,3.653,8.507,8.307
H4702676,永源化工原料股份有限公司,1.664,0.286,5.12,2.853,9.923,8.259
H4701839,佳格食品股份有限公司,0.06,0.618,4.541,3.095,8.314,8.254
N09A2170,和桐水泥股份有限公司彰化廠,0,6.681,0.907,0.629,8.217,8.217
G3701430,崧峰實業股份有限公司,0.484,4.685,1.966,1.544,8.679,8.195
H42A4915,源大環能股份有限公司龜山廠,0,0.367,4.53,3.274,8.171,8.171
L02A1943,餘慶堂興業股份有限公司研磨廠,0,3.147,1.43,3.54,8.117,8.117
L9101720,祥祐資源再生股份有限公司,2.643,0.683,2.673,4.745,10.744,8.101
R9700353,怡華實業股份有限公司,0,0.795,4.467,2.838,8.1,8.1
G3900120,宜東砂石股份有限公司,0,8.074,0,0,8.074,8.074
N16A1755,長春人造樹脂廠股份有限公司彰濱廠,15.922,0.126,1.834,6.101,23.983,8.061
H4900556,現代印染整理股份有限公司,0.909,1.173,1.173,5.71,8.965,8.056
R1405815,全能營養技術股份有限公司永康廠,0,8.039,0,0,8.039,8.039
Q76A0767,曜智實業股份有限公司嘉義廠,1.287,0.068,0.539,7.388,9.282,7.995
U0190341,金昌石礦股份有限公司,0,7.993,0,0,7.993,7.993
F0701346,協昌染整股份有限公司,0.48,1.248,2.609,4.116,8.453,7.973
G3701190,宜蘭食品工業股份有限公司(廣興廠),0,0.359,4.498,3.114,7.971,7.971
H53A4291,寶結實業股份有限公司,0.745,0.229,3.444,4.277,8.695,7.95
B2304049,臺灣菸酒股份有限公司台中酒廠,23.592,0.319,4.495,3.117,31.523,7.931
H5302107,東欣實業股份有限公司,0.752,1.362,2.08,4.469,8.663,7.911
H4500850,白馬窯業股份有限公司楊梅廠,0.601,2.123,1.314,4.472,8.51,7.909
R14A2336,優勝美染整股份有限公司,0.094,0.336,4.537,3.031,7.998,7.904
H46A9846,霖昌能源股份有限公司,0,0.529,2.472,4.896,7.897,7.897
H5302205,能能興業股份有限公司,0.195,0.355,3.703,3.678,7.931,7.736
L90A1622,揚泰瀝青股份有限公司,0.28,4.609,0.572,2.549,8.01,7.73
H5301708,文笙紡織實業股份有限公司,0.722,1.314,1.134,5.271,8.441,7.719
T5903194,嘉益土資場有限公司,0,7.711,0,0,7.711,7.711
H4641365,昭鎰企業股份有限公司,0.2,1.115,3.029,3.559,7.903,7.703
E5607108,友成石灰工廠股份有限公司,0,7.698,0,0,7.698,7.698
L02A1458,中聯資源股份有限公司南堤廠,0,7.698,0,0,7.698,7.698
H47A5839,儒鴻企業股份有限公司大園廠,0.881,0.286,3.795,3.614,8.576,7.695
S2213510,新世紀環保服務股份有限公司,0,7.692,0,0,7.692,7.692
F0801805,忠建工業股份有限公司,0.586,2.483,2.935,2.251,8.255,7.669
B0301513,寶泰瀝青股份有限公司霧峰廠,0.386,2.587,2.989,2.073,8.035,7.649
H5300336,泉福印染股份有限公司,0.471,1.264,0.51,5.859,8.104,7.633
D1405785,全能營養技術股份有限公司生物科技廠,0.077,7.251,0,0.369,7.697,7.62
H4882633,清富纖維股份有限公司龜山廠,0.181,1.068,0.877,5.668,7.794,7.613
S1901002,合興石化工業股份有限公司林園廠,17.794,0.657,0.88,6.073,25.404,7.61
S2300465,大連化學工業股份有限公司高雄廠,10.641,1.64,0.899,5.065,18.245,7.604
H4708481,永源金屬科技股份有限公司,1.419,0,2.74,4.857,9.016,7.597
F1302258,廣銘企業股份有限公司,0.482,0.542,3.648,3.389,8.061,7.579
T5704744,申豐特用應材股份有限公司屏東廠,7.404,0.646,4.258,2.631,14.939,7.535
S3401096,螢建有限公司,0,7.52,0,0,7.52,7.52
J6200070,營道企業股份有限公司,0.82,3.744,2.003,1.75,8.317,7.497
H5302796,水美工程企業股份有限公司觀音廠,1.817,0.03,1.285,6.169,9.301,7.484
H4603258,順麟印染股份有限公司蘆竹廠,0.213,0.2,2.059,5.221,7.693,7.48
T5700068,帝興樹脂股份有限公司,1.003,0.755,3.238,3.485,8.481,7.478
B0202097,安順裝卸股份有限公司,0,7.43,0,0,7.43,7.43
E5407064,亞東預拌混凝土股份有限公司小港廠,0,7.426,0,0,7.426,7.426
F0705219,昭群工業有限公司,0.546,1.731,1.896,3.781,7.954,7.408
I2601880,台灣中油股份有限公司溶劑化學品事業部,12.964,0.097,0,7.309,20.37,7.406
N2904489,上綸國際股份有限公司,0.902,1.301,1.958,4.142,8.303,7.401
R8400416,台灣紙業股份有限公司新營紙廠,0,0.504,3.7,3.192,7.396,7.396
F0801878,弘松窯業股份有限公司,0,1.927,1.168,4.3,7.395,7.395
L0100049,進拓鑄造股份有限公司,0.374,7.322,0.04,0.012,7.748,7.374
H44A1218,統曜實業有限公司,0,3.826,2.041,1.504,7.371,7.371
B24A6727,寶文股份有限公司,0,7.359,0,0,7.359,7.359
P4601984,福懋興業股份有限公司第二廠,4.152,0.677,1.844,4.818,11.491,7.339
P4602374,展頌股份有限公司斗六廠,10.459,1.225,0.759,5.351,17.794,7.335
B23B6125,台灣積體電路製造股份有限公司十五B廠,3.257,1.203,0.568,5.56,10.588,7.331
G3600625,泉海實業股份有限公司,0,7.329,0,0,7.329,7.329
F1102945,大友瀝青混凝土股份有限公司汐止瀝青混凝土拌合廠,0.372,3.203,2.157,1.966,7.698,7.326
B0300525,桐友利實業有限公司,0.364,2.33,2.945,2.043,7.682,7.318
R03A1913,群創光電股份有限公司D廠,244.383,0.58,5.854,0.862,251.679,7.296
H4314685,頂揚實業股份有限公司中壢廠,0.105,0.218,4.215,2.841,7.379,7.274
F0500803,台灣通用器材股份有限公司,36.774,0.091,5.699,1.474,44.038,7.264
R1001791,台南紡織股份有限公司太子廠,7.053,0.222,2.271,4.752,14.298,7.245
P5300280,味王股份有限公司豐田廠,0,0.591,3.96,2.686,7.237,7.237
R8603408,尚發窯業股份有限公司,0.687,5.606,0.206,1.42,7.919,7.232
